Frame,Original Contrast,CLAHE Contrast
frame_0000.png,15.015143147460849,17.81461561348084
frame_0001.png,14.651665762826854,17.593223182879985
frame_0002.png,14.796121040355267,17.77309782332499
frame_0003.png,14.304786901334312,17.2636680795808
frame_0004.png,13.776612655707762,16.868340290056974
frame_0005.png,14.057834381069132,17.223139092623622
frame_0006.png,14.468493068062402,17.572375257797518
frame_0007.png,14.674386271571061,17.8193374108355
frame_0008.png,14.946044912612555,17.934117143381307
frame_0009.png,15.536120140476712,18.27096994167988
frame_0010.png,16.464573928354337,18.968096108303914
frame_0011.png,16.53936272518528,19.152255386065658
frame_0012.png,16.912328460093626,19.775182638736418
frame_0013.png,16.84419645556536,19.874719988982342
frame_0014.png,16.757339253777115,19.85090715381161
frame_0015.png,17.004738421286703,20.170066006450817
frame_0016.png,17.73785932368907,20.72058574536195
frame_0017.png,18.646655676958034,21.709384924968674
frame_0018.png,18.963308215318868,21.91629014120285
frame_0019.png,19.382447414417893,22.37814758920308
frame_0020.png,20.050064320341832,22.784655625695763
frame_0021.png,20.79661553323454,23.77454968696758
frame_0022.png,20.93767233447534,24.054930560428552
frame_0023.png,22.241226110315864,25.327705938440815
frame_0024.png,23.38327712158665,26.47637538679278
frame_0025.png,23.59049344723432,26.57527169926411
frame_0026.png,23.7127772959153,26.81344521103667
frame_0027.png,23.681177196494026,26.958404864282816
frame_0028.png,24.055819021645014,27.705635205338783
frame_0029.png,24.50289143553326,27.729433444412336
frame_0030.png,23.46649445451757,26.97207489678655
frame_0031.png,23.118419437936364,26.082304282145934
frame_0032.png,23.169873132942126,26.081824632657913
frame_0033.png,23.516214495821327,26.40855156955542
frame_0034.png,24.2639186518079,26.89531230526417
frame_0035.png,24.857645985311766,27.244649927695498
frame_0036.png,25.050602885027367,27.412112423405155
frame_0037.png,25.30461781268789,27.754912209078903
frame_0038.png,25.845303988619193,28.075590472903848
frame_0039.png,26.008848873403714,28.16295637812945
frame_0040.png,27.159703157616402,29.5140186987616
frame_0041.png,25.93670877063645,28.376249425257768
frame_0042.png,26.166306394291663,28.491530740434776
frame_0043.png,26.894084018235812,29.0618696044907
frame_0044.png,26.998795805087358,28.966991982508063
frame_0045.png,26.8666058200933,29.00385458726333
frame_0046.png,27.141625724478615,29.3287726737846
frame_0047.png,27.095259305613382,29.280652746579896
frame_0048.png,26.95117295840123,29.011096798843756
frame_0049.png,26.881321296362625,28.869657670999565
frame_0050.png,27.628685723184905,29.31958625133042
frame_0051.png,27.773721307695144,29.680148992169457
frame_0052.png,27.98744337640551,29.713805700114882
frame_0053.png,27.84976873700066,30.157123172092554
frame_0054.png,30.005793231713756,31.33123594628667
frame_0055.png,28.459209491100665,30.411134173379164
frame_0056.png,29.188215812069355,30.607138939970856
frame_0057.png,27.735678566541036,29.91703808582261
frame_0058.png,29.5862494194759,31.105283481843834
frame_0059.png,30.67621210019326,31.986152440889306
frame_0060.png,31.206741434713837,32.48064370856802
frame_0061.png,32.13775629760411,33.09754613622283
frame_0062.png,32.05998506535544,33.234682276323525
frame_0063.png,33.24908438409162,34.102924963439165
frame_0064.png,33.223246292304715,34.172985742714836
frame_0065.png,33.4782817294579,34.540783886719936
frame_0066.png,33.93337331687273,34.927626348898706
frame_0067.png,33.810858398320676,35.060087787004704
frame_0068.png,33.12096946240299,34.67636905013842
frame_0069.png,32.3908887000377,33.24442803279176
frame_0070.png,30.73342753439135,32.05731312559613
frame_0071.png,30.449122356967468,31.706152830878
frame_0072.png,29.505426266968904,31.146647663173603
frame_0073.png,29.44407656080937,31.26129332209221
frame_0074.png,30.60727986606826,32.62646545500745
frame_0075.png,31.264985470556574,32.97062777900689
frame_0076.png,30.337943500575022,31.842386324581486
frame_0077.png,30.193421792955924,31.89773628374619
frame_0078.png,27.43940302228055,29.60990384112248
frame_0079.png,27.238564322661116,29.121783636534946
frame_0080.png,28.090575364005296,30.20619400742181
frame_0081.png,30.54699820541303,32.7224229695073
frame_0082.png,30.543576546343452,32.92785701510098
frame_0083.png,31.060126800361417,33.23474190530044
frame_0084.png,29.340729409929278,31.717048714766307
